dTime;Accel_X;Accel_Y;Accel_Z;Gyro_X;Gyro_Y;Gyro_Z;Mag_X;Mag_Y;Mag_Z;q1;q2;q3;q4
[s];[m/s^2];[m/s^2];[m/s^2];[rad/s];[rad/s];[rad/s];[uT];[uT];[uT];[-];[-];[-];[-]

6.714998;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.001953;-2.500000;17.875000;-38.562500;-0.007690;0.003906;0.000061;0.999939
6.738001;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.001953;-2.500000;17.875000;-38.562500;-0.007690;0.003906;0.000061;0.999939
6.760000;-0.101563;-0.121094;9.871094;0.000000;0.001953;-0.001953;-2.500000;17.875000;-38.562500;-0.007629;0.003967;0.000061;0.999939
6.776999;-0.101563;-0.121094;9.871094;0.000000;0.001953;-0.001953;-3.250000;17.875000;-39.750000;-0.007629;0.003967;0.000061;0.999939
6.800001;-0.062500;-0.121094;9.871094;-0.001953;-0.003906;0.001953;-3.250000;17.875000;-39.750000;-0.007629;0.003967;0.000061;0.999939
6.819998;-0.062500;-0.121094;9.871094;-0.001953;-0.003906;0.001953;-2.875000;18.250000;-39.750000;-0.007629;0.003967;0.000061;0.999939
6.842001;-0.062500;-0.121094;9.871094;-0.001953;-0.003906;0.001953;-2.875000;18.250000;-39.750000;-0.007629;0.003967;0.000061;0.999939
6.875998;-0.062500;-0.121094;9.871094;0.001953;0.001953;0.000000;-2.500000;19.312500;-40.125000;-0.007629;0.003967;0.000061;0.999939
6.885000;-0.101563;-0.121094;9.835938;0.001953;0.001953;0.000000;-2.500000;19.312500;-40.125000;-0.007629;0.003967;0.000061;0.999939
6.911001;-0.062500;-0.121094;9.871094;0.000000;-0.001953;-0.001953;-2.500000;19.312500;-40.125000;-0.007568;0.003906;0.000061;0.999939
6.927000;-0.062500;-0.121094;9.871094;0.000000;-0.001953;-0.001953;-2.500000;20.062500;-40.125000;-0.007568;0.003906;0.000061;0.999939
6.950998;-0.101563;-0.160156;9.871094;-0.003906;0.000000;0.000000;-2.500000;20.062500;-40.125000;-0.007507;0.003906;0.000061;0.999939
6.962000;-0.101563;-0.160156;9.871094;-0.003906;0.000000;0.000000;-2.500000;20.062500;-40.125000;-0.007507;0.003906;0.000061;0.999939
6.990000;-0.062500;-0.121094;9.871094;-0.003906;0.000000;0.000000;-3.625000;19.000000;-39.750000;-0.007507;0.003906;0.000061;0.999939
7.025000;-0.062500;-0.160156;9.871094;0.001953;0.000000;0.000000;-3.250000;17.875000;-40.125000;-0.007446;0.003906;0.000061;0.999939
7.034998;-0.062500;-0.160156;9.871094;0.001953;0.000000;0.000000;-3.250000;17.875000;-40.125000;-0.007446;0.003906;0.000061;0.999939
7.057001;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.003906;-3.250000;17.875000;-40.125000;-0.007446;0.003906;0.000061;0.999939
7.080000;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.003906;-2.187500;19.312500;-39.375000;-0.007446;0.003906;0.000061;0.999939
7.092001;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.003906;-2.187500;19.312500;-39.375000;-0.007446;0.003906;0.000061;0.999939
7.128000;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-2.500000;19.312500;-39.750000;-0.007446;0.003906;0.000000;0.999939
7.131998;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-2.500000;19.312500;-39.750000;-0.007446;0.003906;0.000000;0.999939
